x;y;longitude;visit_date;color_id;latitude;fid;station_vi;transparen
23.8883;57.055;23.888300000000001;2001/05/09 16:52:00.000;21.0;57.055000000000000;816;201089.0;1.200000000000000
23.8129;57.0862;23.812899999999999;2001/05/09 17:53:00.000;21.0;57.086199999999998;817;201090.0;1.200000000000000
23.9333;57.1667;23.933299999999999;2001/05/09 19:05:00.000;21.0;57.166699999999999;818;201091.0;1.200000000000000
23.85;57.3;23.850000000000001;2001/05/09 20:30:00.000;19.0;57.299999999999997;819;201092.0;1.200000000000000
23.6667;57.1667;23.666699999999999;2001/05/10 05:02:00.000;19.0;57.166699999999999;820;201093.0;1.800000000000000
23.7433;56.98;23.743300000000001;2001/05/10 07:58:00.000;19.0;56.979999999999997;821;201094.0;1.600000000000000
23.9565;57.1243;23.956499999999998;2001/05/15 10:35:00.000;19.0;57.124299999999998;822;201095.0;1.800000000000000
24.097;57.0986;24.097000000000001;2001/05/15 11:43:00.000;19.0;57.098599999999998;823;201096.0;1.000000000000000
24.2167;57.1833;24.216699999999999;2001/05/15 13:20:00.000;19.0;57.183300000000003;824;201097.0;1.200000000000000
24.2167;57.1833;24.216699999999999;2001/05/15 14:15:00.000;21.0;57.183300000000003;825;201098.0;1.200000000000000
24.25;57.1683;24.250000000000000;2001/05/15 14:58:00.000;19.0;57.168300000000002;826;201099.0;1.400000000000000
24.3667;57.24;24.366700000000002;2001/05/15 16:28:00.000;19.0;57.240000000000002;827;201100.0;1.200000000000000
24.3733;57.315;24.373300000000000;2001/05/15 17:42:00.000;19.0;57.314999999999998;828;201101.0;1.200000000000000
24.3533;57.4483;24.353300000000001;2001/05/15 19:15:00.000;19.0;57.448300000000003;829;201102.0;1.500000000000000
23.6;57.5;23.600000000000001;2001/05/15 20:12:00.000;11.0;57.500000000000000;830;201103.0;1.800000000000000
24.3367;57.5933;24.336700000000000;2001/05/15 21:42:00.000;11.0;57.593299999999999;831;201104.0;1.800000000000000
24.3367;57.5933;24.336700000000000;2001/05/15 22:15:00.000;11.0;57.593299999999999;832;201105.0;1.800000000000000
24.1167;57.6;24.116700000000002;2001/05/16 05:00:00.000;11.0;57.600000000000001;833;201106.0;3.000000000000000
24.2518;57.7633;24.251799999999999;2001/05/16 07:23:00.000;11.0;57.763300000000001;834;201107.0;2.200000000000000
24.2433;57.88;24.243300000000001;2001/05/16 08:55:00.000;11.0;57.880000000000003;835;201108.0;3.000000000000000
24.0665;57.8827;24.066500000000001;2001/05/16 09:52:00.000;11.0;57.882700000000000;836;201109.0;2.500000000000000
23.9167;57.85;23.916699999999999;2001/05/16 11:15:00.000;11.0;57.850000000000001;837;201110.0;2.500000000000000
23.35;57.96;23.350000000000001;2001/05/16 14:50:00.000;11.0;57.960000000000001;838;201111.0;2.600000000000000
22.8833;57.7976;22.883299999999998;2001/05/16 18:35:00.000;9.0;57.797600000000003;839;201112.0;3.500000000000000
22.6167;57.7333;22.616700000000002;2001/05/16 20:30:00.000;9.0;57.733300000000000;840;201113.0;4.500000000000000
22.8167;57.5333;22.816700000000001;2001/05/17 05:00:00.000;9.0;57.533299999999997;841;201114.0;4.500000000000000
22.9833;57.5667;22.983300000000000;2001/05/17 06:12:00.000;9.0;57.566699999999997;842;201115.0;3.800000000000000
23.6167;57.6167;23.616700000000002;2001/05/17 10:10:00.000;11.0;57.616700000000002;843;201116.0;2.300000000000000
23.7667;57.4167;23.766700000000000;2001/05/17 13:55:00.000;11.0;57.416699999999999;844;201117.0;2.200000000000000
23.4833;57.4;23.483300000000000;2001/05/17 16:05:00.000;11.0;57.399999999999999;845;201118.0;2.200000000000000
23.2373;57.3589;23.237300000000001;2001/05/17 18:45:00.000;9.0;57.358899999999998;846;201119.0;3.000000000000000
23.2123;57.3275;23.212299999999999;2001/05/17 19:15:00.000;9.0;57.327500000000001;847;201120.0;3.300000000000000
23.2754;57.173;23.275400000000001;2001/05/17 20:50:00.000;11.0;57.173000000000002;848;201121.0;2.500000000000000
23.2754;57.173;23.275400000000001;2001/05/17 21:27:00.000;11.0;57.173000000000002;849;201122.0;2.500000000000000
23.4867;57.0467;23.486699999999999;2001/05/18 04:35:00.000;19.0;57.046700000000001;850;201123.0;2.200000000000000
23.705;56.9767;23.704999999999998;2001/05/18 06:10:00.000;11.0;56.976700000000001;851;201124.0;2.100000000000000
23.85;57.3;23.850000000000001;2001/05/18 08:55:00.000;11.0;57.299999999999997;852;201125.0;2.500000000000000
24.0833;57.35;24.083300000000001;2001/05/18 10:45:00.000;11.0;57.350000000000001;853;201126.0;2.000000000000000
24.0017;57.0833;24.001700000000000;2001/05/18 13:45:00.000;21.0;57.083300000000001;854;201127.0;1.200000000000000
23.85;57.3;23.850000000000001;2001/05/29 12:45:00.000;12.0;57.299999999999997;855;201129.0;2.200000000000000
23.4833;57.4;23.483300000000000;2001/05/29 14:55:00.000;9.0;57.399999999999999;856;201130.0;3.200000000000000
22.8167;57.5333;22.816700000000001;2001/05/29 18:05:00.000;9.0;57.533299999999997;857;201131.0;3.500000000000000
22.9833;57.5667;22.983300000000000;2001/05/29 19:00:00.000;9.0;57.566699999999997;858;201132.0;3.300000000000000
23.6167;57.6167;23.616700000000002;2001/05/29 21:55:00.000;12.0;57.616700000000002;859;201133.0;3.000000000000000
24.1167;57.6;24.116700000000002;2001/05/30 04:55:00.000;12.0;57.600000000000001;860;201134.0;3.100000000000000
24.3367;57.5933;24.336700000000000;2001/05/30 06:05:00.000;17.0;57.593299999999999;861;201135.0;1.900000000000000
24.0833;57.35;24.083300000000001;2001/05/30 08:15:00.000;18.0;57.350000000000001;862;201136.0;2.800000000000000
24.3733;57.315;24.373300000000000;2001/05/30 09:50:00.000;18.0;57.314999999999998;863;201137.0;1.900000000000000
24.3667;57.24;24.366700000000002;2001/05/30 10:50:00.000;18.0;57.240000000000002;864;201138.0;1.900000000000000
24.25;57.1683;24.250000000000000;2001/05/30 11:45:00.000;18.0;57.168300000000002;865;201139.0;1.700000000000000
24.097;57.0986;24.097000000000001;2001/05/30 12:55:00.000;18.0;57.098599999999998;866;201140.0;1.500000000000000
23.9833;57.1;23.983300000000000;2001/05/30 13:45:00.000;18.0;57.100000000000001;867;201141.0;1.600000000000000
24.0017;57.0833;24.001700000000000;2001/05/30 14:25:00.000;19.0;57.083300000000001;868;201142.0;1.400000000000000
23.9792;57.0737;23.979199999999999;2001/05/30 15:00:00.000;20.0;57.073700000000002;869;201143.0;1.300000000000000
23.9683;57.0433;23.968299999999999;2001/05/30 17:10:00.000;17.0;57.043300000000002;870;201145.0;2.000000000000000
23.92;57.025;23.920000000000002;2001/05/30 17:40:00.000;17.0;57.024999999999999;871;201146.0;2.000000000000000
23.7433;56.98;23.743300000000001;2001/05/30 18:50:00.000;18.0;56.979999999999997;872;201147.0;1.500000000000000
23.705;56.9767;23.704999999999998;2001/05/30 19:50:00.000;17.0;56.976700000000001;873;201148.0;2.200000000000000
23.4867;57.0467;23.486699999999999;2001/05/30 20:50:00.000;14.0;57.046700000000001;874;201149.0;2.300000000000000
23.6667;57.1667;23.666699999999999;2001/05/30 22:25:00.000;16.0;57.166699999999999;875;201150.0;2.500000000000000
23.85;57.3;23.850000000000001;2001/05/31 05:15:00.000;18.0;57.299999999999997;876;201151.0;2.100000000000000
24.0017;57.0833;24.001700000000000;2001/06/14 12:10:00.000;21.0;57.083300000000001;877;201153.0;1.500000000000000
23.9792;57.0737;23.979199999999999;2001/06/14 12:55:00.000;19.0;57.073700000000002;878;201154.0;2.100000000000000
23.9833;57.1;23.983300000000000;2001/06/14 13:30:00.000;19.0;57.100000000000001;879;201155.0;1.500000000000000
23.9683;57.0433;23.968299999999999;2001/06/14 15:02:00.000;19.0;57.043300000000002;880;201156.0;1.200000000000000
23.92;57.025;23.920000000000002;2001/06/14 15:45:00.000;19.0;57.024999999999999;881;201157.0;1.500000000000000
23.7433;56.98;23.743300000000001;2001/06/14 16:55:00.000;19.0;56.979999999999997;882;201158.0;1.800000000000000
23.705;56.9767;23.704999999999998;2001/06/14 17:55:00.000;19.0;56.976700000000001;883;201159.0;1.800000000000000
23.4867;57.0467;23.486699999999999;2001/06/14 18:52:00.000;11.0;57.046700000000001;884;201160.0;2.100000000000000
23.6667;57.1667;23.666699999999999;2001/06/14 20:25:00.000;11.0;57.166699999999999;885;201161.0;2.700000000000000
23.4833;57.4;23.483300000000000;2001/06/15 04:15:00.000;9.0;57.399999999999999;886;201162.0;3.200000000000000
22.9833;57.5667;22.983300000000000;2001/06/15 08:20:00.000;9.0;57.566699999999997;887;201163.0;4.100000000000000
23.6167;57.6167;23.616700000000002;2001/06/15 11:12:00.000;11.0;57.616700000000002;888;201164.0;4.300000000000000
24.1167;57.6;24.116700000000002;2001/06/15 13:50:00.000;9.0;57.600000000000001;889;201165.0;4.500000000000000
24.0833;57.35;24.083300000000001;2001/06/15 16:05:00.000;11.0;57.350000000000001;890;201166.0;5.500000000000000
24.3733;57.315;24.373300000000000;2001/06/15 18:27:00.000;19.0;57.314999999999998;891;201167.0;2.500000000000000
24.3667;57.24;24.366700000000002;2001/06/15 19:25:00.000;21.0;57.240000000000002;892;201168.0;1.300000000000000
24.25;57.1683;24.250000000000000;2001/06/15 20:25:00.000;19.0;57.168300000000002;893;201169.0;1.500000000000000
24.097;57.0986;24.097000000000001;2001/06/15 21:40:00.000;19.0;57.098599999999998;894;201170.0;1.500000000000000
23.85;57.3;23.850000000000001;2001/06/16 06:05:00.000;9.0;57.299999999999997;895;201171.0;3.500000000000000
23.85;57.3;23.850000000000001;2001/06/25 17:30:00.000;13.0;57.299999999999997;896;201172.0;2.600000000000000
23.85;57.3;23.850000000000001;2001/06/27 06:15:00.000;9.0;57.299999999999997;897;201173.0;2.800000000000000
23.9833;57.1;23.983300000000000;2001/06/27 10:55:00.000;19.0;57.100000000000001;898;201174.0;1.900000000000000
24.0017;57.0833;24.001700000000000;2001/06/27 11:30:00.000;21.0;57.083300000000001;899;201175.0;1.600000000000000
24.0017;57.0833;24.001700000000000;2001/07/16 13:15:00.000;14.0;57.083300000000001;900;201178.0;2.600000000000000
23.9833;57.1;23.983300000000000;2001/07/16 14:05:00.000;15.0;57.100000000000001;901;201179.0;3.000000000000000
24.097;57.0986;24.097000000000001;2001/07/16 16:00:00.000;14.0;57.098599999999998;902;201180.0;2.600000000000000
24.25;57.1683;24.250000000000000;2001/07/16 17:20:00.000;15.0;57.168300000000002;903;201181.0;3.000000000000000
24.3667;57.24;24.366700000000002;2001/07/16 18:35:00.000;15.0;57.240000000000002;904;201182.0;2.900000000000000
24.3733;57.315;24.373300000000000;2001/07/16 19:20:00.000;16.0;57.314999999999998;905;201183.0;2.800000000000000
24.0833;57.35;24.083300000000001;2001/07/16 21:05:00.000;15.0;57.350000000000001;906;201184.0;3.000000000000000
24.3367;57.5933;24.336700000000000;2001/07/17 04:55:00.000;16.0;57.593299999999999;907;201185.0;3.000000000000000
24.1167;57.6;24.116700000000002;2001/07/17 06:20:00.000;13.0;57.600000000000001;908;201186.0;4.000000000000000
23.6167;57.6167;23.616700000000002;2001/07/17 08:50:00.000;16.0;57.616700000000002;909;201187.0;3.300000000000000
22.9833;57.5667;22.983300000000000;2001/07/17 12:10:00.000;12.0;57.566699999999997;910;201188.0;2.700000000000000
22.8167;57.5333;22.816700000000001;2001/07/17 13:15:00.000;12.0;57.533299999999997;911;201189.0;2.500000000000000
23.2123;57.3275;23.212299999999999;2001/07/17 16:05:00.000;12.0;57.327500000000001;912;201190.0;3.000000000000000
23.4833;57.4;23.483300000000000;2001/07/17 17:45:00.000;13.0;57.399999999999999;913;201191.0;2.600000000000000
23.85;57.3;23.850000000000001;2001/07/17 20:45:00.000;13.0;57.299999999999997;914;201192.0;2.900000000000000
23.6667;57.1667;23.666699999999999;2001/07/18 05:10:00.000;16.0;57.166699999999999;915;201193.0;3.000000000000000
23.4867;57.0467;23.486699999999999;2001/07/18 07:00:00.000;11.0;57.046700000000001;916;201194.0;3.700000000000000
23.705;56.9767;23.704999999999998;2001/07/18 08:05:00.000;12.0;56.976700000000001;917;201195.0;3.000000000000000
23.7433;56.98;23.743300000000001;2001/07/18 09:10:00.000;12.0;56.979999999999997;918;201196.0;2.700000000000000
23.92;57.025;23.920000000000002;2001/07/18 10:15:00.000;16.0;57.024999999999999;919;201197.0;2.200000000000000
23.9683;57.0433;23.968299999999999;2001/07/18 11:05:00.000;15.0;57.043300000000002;920;201198.0;2.200000000000000
23.9792;57.0737;23.979199999999999;2001/07/18 11:45:00.000;18.0;57.073700000000002;921;201199.0;2.300000000000000
23.85;57.3;23.850000000000001;2001/07/24 11:20:00.000;13.0;57.299999999999997;922;201200.0;3.300000000000000
23.6167;57.6167;23.616700000000002;2001/07/24 14:35:00.000;11.0;57.616700000000002;923;201201.0;2.500000000000000
23.6159;57.6333;23.615900000000000;2001/07/24 16:40:00.000;11.0;57.633299999999998;924;201202.0;3.200000000000000
23.585;57.6167;23.585000000000001;2001/07/24 17:55:00.000;11.0;57.616700000000002;925;201203.0;2.800000000000000
23.62;57.6;23.620000000000001;2001/07/24 19:00:00.000;11.0;57.600000000000001;926;201204.0;2.800000000000000
23.6467;57.6167;23.646699999999999;2001/07/24 20:05:00.000;11.0;57.616700000000002;927;201205.0;2.800000000000000
23.8496;57.3164;23.849599999999999;2001/07/25 05:20:00.000;13.0;57.316400000000002;928;201211.0;3.600000000000000
23.8078;57.2997;23.807800000000000;2001/07/25 06:55:00.000;11.0;57.299700000000001;929;201212.0;3.400000000000000
23.8498;57.2832;23.849799999999998;2001/07/25 08:20:00.000;13.0;57.283200000000001;930;201213.0;3.700000000000000
23.8811;57.2995;23.881100000000000;2001/07/25 09:35:00.000;11.0;57.299500000000002;931;201214.0;3.600000000000000
23.85;57.3;23.850000000000001;2001/07/25 10:50:00.000;11.0;57.299999999999997;932;201215.0;3.600000000000000
24.0017;57.0833;24.001700000000000;2001/07/25 16:45:00.000;15.0;57.083300000000001;933;201216.0;1.800000000000000
24.0017;57.0833;24.001700000000000;2001/08/07 11:20:00.000;20.0;57.083300000000001;934;201218.0;2.000000000000000
23.9833;57.1;23.983300000000000;2001/08/07 12:15:00.000;16.0;57.100000000000001;935;201219.0;2.900000000000000
23.9792;57.0737;23.979199999999999;2001/08/07 15:55:00.000;16.0;57.073700000000002;936;201220.0;2.200000000000000
23.9683;57.0433;23.968299999999999;2001/08/07 16:40:00.000;17.0;57.043300000000002;937;201221.0;2.200000000000000
23.92;57.025;23.920000000000002;2001/08/07 17:10:00.000;18.0;57.024999999999999;938;201222.0;2.100000000000000
23.8883;57.055;23.888300000000001;2001/08/07 18:05:00.000;15.0;57.055000000000000;939;201223.0;3.000000000000000
23.7433;56.98;23.743300000000001;2001/08/07 20:40:00.000;15.0;56.979999999999997;940;201224.0;2.600000000000000
23.705;56.9767;23.704999999999998;2001/08/07 21:40:00.000;15.0;56.976700000000001;941;201225.0;2.400000000000000
23.4867;57.0467;23.486699999999999;2001/08/08 06:05:00.000;15.0;57.046700000000001;942;201226.0;2.800000000000000
23.2754;57.173;23.275400000000001;2001/08/08 07:35:00.000;11.0;57.173000000000002;943;201227.0;3.600000000000000
23.6667;57.1667;23.666699999999999;2001/08/08 09:30:00.000;12.0;57.166699999999999;944;201228.0;4.500000000000000
23.85;57.3;23.850000000000001;2001/08/08 11:10:00.000;12.0;57.299999999999997;945;201229.0;4.200000000000000
23.7667;57.4167;23.766700000000000;2001/08/08 12:40:00.000;13.0;57.416699999999999;946;201230.0;4.000000000000000
23.4833;57.4;23.483300000000000;2001/08/08 14:15:00.000;12.0;57.399999999999999;947;201231.0;3.800000000000000
23.2123;57.3275;23.212299999999999;2001/08/08 17:25:00.000;11.0;57.327500000000001;948;201232.0;2.600000000000000
22.8167;57.5333;22.816700000000001;2001/08/08 19:45:00.000;11.0;57.533299999999997;949;201233.0;2.900000000000000
22.9833;57.5667;22.983300000000000;2001/08/08 20:50:00.000;12.0;57.566699999999997;950;201234.0;3.300000000000000
23.6167;57.6167;23.616700000000002;2001/08/09 05:50:00.000;13.0;57.616700000000002;951;201236.0;3.500000000000000
23.634;57.822;23.634000000000000;2001/08/09 09:50:00.000;13.0;57.822000000000003;952;201237.0;4.000000000000000
23.9167;57.85;23.916699999999999;2001/08/09 11:20:00.000;11.0;57.850000000000001;953;201238.0;3.800000000000000
24.0665;57.8827;24.066500000000001;2001/08/09 14:05:00.000;11.0;57.882700000000000;954;201239.0;3.800000000000000
24.2433;57.88;24.243300000000001;2001/08/09 15:15:00.000;12.0;57.880000000000003;955;201240.0;3.200000000000000
24.2518;57.7633;24.251799999999999;2001/08/09 16:35:00.000;12.0;57.763300000000001;956;201241.0;3.000000000000000
24.1167;57.6;24.116700000000002;2001/08/09 18:10:00.000;13.0;57.600000000000001;957;201242.0;3.500000000000000
24.3367;57.5933;24.336700000000000;2001/08/09 20:00:00.000;13.0;57.593299999999999;958;201243.0;3.000000000000000
24.3533;57.4483;24.353300000000001;2001/08/09 21:25:00.000;14.0;57.448300000000003;959;201244.0;2.800000000000000
24.3667;57.24;24.366700000000002;2001/08/10 06:00:00.000;14.0;57.240000000000002;960;201246.0;3.000000000000000
24.25;57.1683;24.250000000000000;2001/08/10 06:55:00.000;14.0;57.168300000000002;961;201247.0;2.800000000000000
24.2167;57.1833;24.216699999999999;2001/08/10 07:35:00.000;12.0;57.183300000000003;962;201248.0;3.500000000000000
24.0833;57.35;24.083300000000001;2001/08/10 10:25:00.000;12.0;57.350000000000001;963;201249.0;3.800000000000000
23.85;57.3;23.850000000000001;2001/08/10 13:05:00.000;12.0;57.299999999999997;964;201250.0;3.200000000000000
23.9333;57.1667;23.933299999999999;2001/08/10 17:30:00.000;12.0;57.166699999999999;965;201251.0;3.300000000000000
24.097;57.0986;24.097000000000001;2001/08/10 18:30:00.000;13.0;57.098599999999998;966;201252.0;2.800000000000000
23.6167;57.6167;23.616700000000002;2001/08/28 15:10:00.000;11.0;57.616700000000002;967;201254.0;4.800000000000000
23.7667;57.4167;23.766700000000000;2001/08/28 17:55:00.000;13.0;57.416699999999999;968;201255.0;5.200000000000000
23.85;57.3;23.850000000000001;2001/08/29 06:30:00.000;13.0;57.299999999999997;969;201256.0;4.000000000000000
23.9333;57.1667;23.933299999999999;2001/08/29 09:40:00.000;13.0;57.166699999999999;970;201257.0;4.700000000000000
23.9833;57.1;23.983300000000000;2001/08/29 10:40:00.000;13.0;57.100000000000001;971;201258.0;5.000000000000000
24.0017;57.0833;24.001700000000000;2001/08/29 11:20:00.000;9.0;57.083300000000001;972;201259.0;3.400000000000000
23.85;57.3;23.850000000000001;2001/09/04 13:00:00.000;11.0;57.299999999999997;973;201262.0;4.200000000000000
24.25;57.1683;24.250000000000000;2001/09/04 16:05:00.000;13.0;57.168300000000002;974;201263.0;2.900000000000000
24.097;57.0986;24.097000000000001;2001/09/04 17:25:00.000;13.0;57.098599999999998;975;201264.0;2.700000000000000
24.0017;57.0833;24.001700000000000;2001/09/04 18:20:00.000;11.0;57.083300000000001;976;201265.0;1.200000000000000
23.9833;57.1;23.983300000000000;2001/09/04 18:55:00.000;11.0;57.100000000000001;977;201266.0;2.100000000000000
23.9792;57.0737;23.979199999999999;2001/09/04 20:15:00.000;13.0;57.073700000000002;978;201267.0;1.500000000000000
23.9683;57.0433;23.968299999999999;2001/09/05 06:35:00.000;13.0;57.043300000000002;979;201268.0;2.400000000000000
23.92;57.025;23.920000000000002;2001/09/05 07:05:00.000;11.0;57.024999999999999;980;201269.0;2.200000000000000
